Ҳудуд ва банк номи,Банк номи,2024 йил Импорт шартнома сони,2024 йил Экспорт шартнома сони,2024 йил Импорт учун тўлов,2024 йил Экспорт тушуми,"Дебиторка 2024 йил 31 декабрь ҳолатига 
(минг долл)",2025 йил Ипморт шартнома сони,2025 йил Экспорт шартнома сони,2025 йил Импорт учун тўлов ,2025 йил Экспорт тушуми ,2025 йил ҳудуддаги банкларда экспорт шартнома сони,2025 йил ҳудуддаги банкларда экспорт тушум ,2025 йил ҳудуддаги банкларда импорт шартнома сони,2025 йил ҳудуддаги банкларда импорт тўлов ,2025 йил Вилоят ҳудудида рўйҳатдан ўтган ва бошқа худуд банкларида  экспорт шартнома сони,2025 йил Вилоят ҳудудида рўйҳатдан ўтган ва бошқа худуд банкларида  экспорт тушум,2025 йил Вилоят ҳудудида рўйҳатдан ўтган ва бошқа худуд банкларида импорт шартнома сони,2025 йил Вилоят ҳудудида рўйҳатдан ўтган ва бошқа худуд банкларида импорт тўлови ,"2025 йил бошқа ҳудудларда рўйҳатдан ўтган, ҳудуддаги банкларда экспорт шартнома сони","2025 йил Бошқа ҳудудларда рўйҳатдан ўтган,   ҳудуддаги банкларида экспорт тушуми ","2025 йил Бошқа ҳудудларда рўйҳатдан ўтган, ҳудуддаги банкларида импорт шартнома сони","2025 йил Бошқа ҳудудларда рўйҳатдан ўтган, ҳудуддаги банкларида импорт тўлови",2025 йил давомида  Россия Федерацияси Экспорт тушуми Шартнома сони,2025 йил давомида  Россия Федерацияси Экспорт тушуми Суммаси,2025 йил давомида  Россия Федерацияси Импорт тўлови Шартнома сони,2025 йил давомида  Россия Федерацияси Импорт тўлови Суммаси,2025 йил давомида  Хитой Экспорт тушуми Шартнома сони,2025 йил давомида  Хитой Экспорт тушуми Суммаси,2025 йил давомида  Хитой Импорт тўлови Шартнома сони,2025 йил давомида  Хитой Импорт тўлови Суммаси,2025 йил давомида  Қозиғистон Экспорт тушуми Шартнома сони,2025 йил давомида  Қозиғистон Экспорт тушуми Суммаси,2025 йил давомида  Қозиғистон Импорт тўлови Шартнома сони,2025 йил давомида  Қозиғистон Импорт тўлови Суммаси,2025 йил давомида  Бирлашган Араб Амирликлари Экспорт тушуми Шартнома сони,2025 йил давомида  Бирлашган Араб Амирликлари Экспорт тушуми Суммаси,2025 йил давомида  Бирлашган Араб Амирликлари Импорт тўлови Шартнома сони,2025 йил давомида  Бирлашган Араб Амирликлари Импорт тўлови Суммаси,2025 йил давомида  Туркия Экспорт тушуми Шартнома сони,2025 йил давомида  Туркия Экспорт тушуми Суммаси,2025 йил давомида  Туркия Импорт тўлови Шартнома сони,2025 йил давомида  Туркия Импорт тўлови Суммаси,2025 йил давомида  Бошқа давлатлар Экспорт тушуми Шартнома сони,2025 йил давомида  Бошқа давлатлар Экспорт тушуми Суммаси,2025 йил давомида  Бошқа давлатлар Импорт тўлови Шартнома сони,2025 йил давомида  Бошқа давлатлар Импорт тўлови Суммаси,"Дебиторка 2025 йил 31 декабрь ҳолатига 
(минг долл)",Белгиланган тоифа,2025 йилда ҳудуддаги улуши (фоизда),2025 йил давомида олинган банк даромади (минг сўмда),Мавжуд ходимлар,Банк манзили,Банк раҳбарлари,Банк раҳбарларининг тел рақами,,№,Сохалар,2025 йил экспорт сони,2025 йил экспорт сумма,2025 йил импорт сони,2025 йил импорт сумма,,№,Ҳудуд номи,Вилоят ҳудудида рўйҳатдан ўтган корхоналар Экспорт  тушуми  Сони,Вилоят ҳудудида рўйҳатдан ўтган корхоналар Экспорт тушуми Суммаси,Вилоят ҳудудида рўйҳатдан ўтган корхоналар Импорт тўлови Сони,Вилоят ҳудудида рўйҳатдан ўтган корхоналар Импорт тўлови Суммаси,Вилоят ҳудудида рўйҳатдан ўтган ва бошқа худуд банкларида фаолият юритаётган корхоналар Экспорт тушуми Сони, Вилоят ҳудудида рўйҳатдан ўтган ва бошқа худуд банкларида фаолият юритаётган корхоналар Экспорт тушуми Суммаси,Вилоят ҳудудида рўйҳатдан ўтган ва бошқа худуд банкларида фаолият юритаётган корхоналар Импорт тўлови Сони,Вилоят ҳудудида рўйҳатдан ўтган ва бошқа худуд банкларида фаолият юритаётган корхоналар Импорт тўлови Суммаси,,№,Банк номи,Вилоят ҳудудида рўйҳатдан ўтган корхоналар Экспорт тушуми Сони,Вилоят ҳудудида рўйҳатдан ўтган корхоналар Экспорт тушуми Суммаси,Вилоят ҳудудида рўйҳатдан ўтган корхоналар Импорт тўлови Сони,Вилоят ҳудудида рўйҳатдан ўтган корхоналар Импорт тўлови Суммаси,Вилоят ҳудудида рўйҳатдан ўтган ва бошқа худуд банкларида фаолият юритаётган корхоналар Экспорт тушуми Сони,Вилоят ҳудудида рўйҳатдан ўтган ва бошқа худуд банкларида фаолият юритаётган корхоналар Экспорт тушуми Суммаси,Вилоят ҳудудида рўйҳатдан ўтган ва бошқа худуд банкларида фаолият юритаётган корхоналар Импорт тўлови Сони,Вилоят ҳудудида рўйҳатдан ўтган ва бошқа худуд банкларида фаолият юритаётган корхоналар Импорт тўлови Суммаси
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Автомашина ва эхтиёт қисмлари,680,"3,251,988","9,639","191,427,393",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Қурилиш материаллари,"5,204","152,604,130","34,328","1,497,536,093",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Мис махсулотларини ишлаб чиқариш,"1,402","417,519,469",925,"532,975,397",,1,Олмалиқ шаҳар,128,"518,984,741",527,"1,058,415,260",,,,,,1,Опен банк,,,,,,,4,"557,320"
,,"21,580","6,652","6,836,632,606","1,759,987,880","495,857","19,463","5,593","5,144,694,400","2,034,475,386","1,503","742,520,902","3,957","1,466,895,499","27,721","7,441,924,171","61,576","18,030,019,762",337,"83,813,463","1,174","389,171,241","14,679","4,706,783,439","21,223","6,494,430,770","2,814","1,748,693,000","56,943","9,817,416,159","7,948","1,708,097,303","10,920","3,660,248,745","2,277","1,524,765,265","6,338","4,644,676,063","2,636","901,215,779","16,933","2,548,936,808","35,130","6,990,911,400","58,271","19,218,500,445","687,860",,,"26,484,103",,,,,,4,Бошқа соҳалар,"7,704","760,042,750","5,022","503,505,963",,2,Зангиота тумани,72,"9,930,026","1,120","98,715,800",,,,,,2,Капиталбанк,,,,,735,"258,530,134","2,562","677,522,733"
Ангрен шаҳар,,497,624,"44,539,014","160,848,179","2,481",278,354,"51,332,697","27,132,549",354,"27,132,549",278,"51,332,697",0,0,0,0,4,"104,334",31,"9,712,516",183,"10,903,571",62,"9,176,142",1,"131,460",114,"35,839,224",41,"1,413,339",59,"3,848,378",10,"1,158,840",12,"6,722,658",1,"1,523",10,"1,447,052",122,"13,628,149",52,"4,011,760","1,232",,4%,"3,133,918",,,,,,5,Техника воситалари,,,"3,397","331,660,207",,3,Бекобод шаҳар,102,"22,665,972",259,"80,046,695",,,,,,3,Ҳамкорбанк,565,"54,364,032",838,"77,732,042",263,"67,556,943","1,037","365,732,119"
Ҳамкорбанк,Ҳамкорбанк Ангрен БХО,247,400,"11,995,634","105,734,646",193,148,263,"21,921,219","20,699,629",263,"20,699,629",148,"21,921,219",,,,,4,"104,334",30,"9,712,042",136,"8,239,369",32,"8,160,933",,,51,"9,983,583",26,"737,098",48,"3,564,522",9,"1,157,064",10,"6,670,878",,,2,"123,370",96,"10,670,432",35,"3,129,976",657,Самарадор,54,"2,738,884",1,"Ангрен ш., Охангарон к.",Тошпулатов Сардорбек Абдухамидович,97-772-06-02,,6,Хизмат кўрсатиш,"1,732","21,933,145","8,471","251,365,269",,4,Нурафшон шаҳар,176,"14,396,658",432,"65,949,554",,,,,,4,Миллийбанк,173,"43,606,789",490,"249,383,803",318,"185,529,866","1,051","356,258,459"
Миллийбанк,Миллийбанк Ангрен БХМ,34,12,"11,237,585",0,"1,952",51,16,"22,378,886","3,245,165",16,"3,245,165",51,"22,378,886",,,,,0,0,0,0,4,"1,000,217",2,"7,261",,,46,"22,358,574",6,"500,607",3,"13,051",,,,,,,,,6,"1,744,342",,,49,Барқарор,33,"226,179",2,"Ангрен ш, Ёшлик МФЙ, Охангарон к., 1",Мавлянов Азизбек ,94-440-00-03,,7,Озиқ овқат махсулотлари,"3,591","66,912,969","3,786","249,666,449",,5,Ангрен шаҳар,354,"27,132,549",278,"51,332,697",,,,,,5,Ипак йўли банк,74,"31,646,640",125,"14,926,744",524,"86,414,283","1,283","272,491,656"
Ипотека банк,Ипотека банк Ангрен филиали,139,147,"15,084,165","49,059,033",103,65,46,"4,542,248","1,436,955",46,"1,436,955",65,"4,542,248",,,,,0,0,1,474,36,"964,328",26,"1,003,090",,,9,"1,226,951",2,"8,201",6,"83,464",,,2,"51,781",,,8,"1,323,682",8,"464,426",15,"853,754",284,Ўртача,8,"119,253",2,"Ангрен ш., А.Навоий к., 1",Мадимаров Зухриддин Фахриддинович,99-487-47-40,,8,Нефт махсулоти,,,516,"155,326,918",,6,Чирчиқ шаҳар,237,"38,467,904",408,"23,291,411",,,,,,6,Ўзсаноатқурилишбанк,87,"7,385,554",232,"15,115,161",321,"74,159,288","1,228","271,146,469"
Ўзсаноатқурилишбанк,Ўзсаноатқурилишбанк Ангрен БХМ,77,65,"6,221,630","6,054,501",233,14,29,"2,490,345","1,750,799",29,"1,750,799",14,"2,490,345",,,,,0,0,0,0,7,"699,658",2,"4,858",1,"131,460",8,"2,270,116",7,"167,432",2,"187,341",1,"1,777",,,1,"1,523",,,12,"748,949",2,"28,030",241,Самарадорлиги паст,5,"49,601",2,"Ангрен ш., 5/1а даха, 3",Бойбеков Юнусжон,97-709-89-39,,9,Қишлоқ хўжалиги махсулотлари,201,"6,724,070","3,263","137,037,170",,7,Қибрай тумани,114,"46,225,049",142,"22,302,879",,,,,,7,Тене банк,,,,,44,"5,276,628",303,"225,242,309"
Бекобод тумани,,2,17,"110,629","534,417",67,4,1,"164,470","5,908",1,"5,908",4,"164,470",0,0,0,0,0,0,0,0,0,0,1,"11,350",0,0,3,"153,120",0,0,0,0,0,0,0,0,0,0,0,0,1,"5,908",0,0,36,,0.01%,"5,890",,,,,,10,Трикотаж махсулотлари,592,"47,274,280","1,170","103,933,066",,8,Янгийўл шаҳар,108,"5,625,874",355,"20,902,133",,,,,,8,Ипотека банк,332,"537,987,665",870,"954,698,856",312,"93,419,940","1,443","191,893,340"
