Tuman nomi;Bank nomi;Bank MFo;VASHlar soni;2024 yil davomida Soni;2024 yil davomida Summasi; 2024 Õududdagi ulushi foizda;2024 Belgilangan toifa;2025 yil davomida Soni;2025 yil davomida Summasi;2025 Õududdagi ulushi foizda;2025 Belgilangan toifa;2024 yilda Sotuv Soni;2024 yilda Sotuv Summa;2024 yilda xarid Soni;2024 yilda xarid Summa;2025 yilda Sotuv Soni;2025 yilda Sotuv Summa;2025 yilda xarid Soni;2025 yilda xarid Summa; Farqi xarid Soni;Farqi xarid Summa;Farqi Sotuv Soni;Farqi Sotuv Summa;"Daromadi 
(ming so'mda)";Belgilangan toifa; VASh Manzili;Avtovash Bank;Avtovash filiali;Avtovash tuman;Avtovash Soni;Avtovash Manzili
;Jami;0;259;1 492 770;961 601 003;;;1 594 177;1 125 977 034;100%;;786 106;528 290 004;713 290;433 317 624;849 321;614 635 409;751 482;511 348 251;76 574;90 551 145;50 861;80 752 784;67 803 238;;;;;;183;
ANGREN SHAHRI;;;18;131 133;87 394 059;9,09%;Samarador;154 303;112 001 222;10%;Samarador;56 561;41 023 907;74 572;46 370 152;67 524;52 037 140;86 779;59 964 083;10 963;11 013 233;12 207;13 593 931;5 803 925;Samarador;;Agrobank;Yangiyul filiali ;YANGIYO'L SHAHRI;1;Yangiyol shahar Samarkand kuchasi 154-uy
;Ipoteka bank;461;3;32 458;15 643 703;;;31 269;14 616 101;13%;;11 957;7 021 565;20 501;8 622 138;11 367;5 730 201;19 902;8 885 900;-590;-1 291 364;-599;263 762;1 001 164;Samarador; Angren shahri, A.Navoiy k., 1;Agrobank;Yangiyul filiali ;YANGIYO'L SHAHRI;1;Yangiyol shahar Farovon MFY. Anarqulov daxasi
;Anor bank;10418;1;2 185;2 223 906;;;8 694;11 931 856;11%;;1 131;790 615;1 054;1 433 291;4 079;5 768 950;4 615;6 162 906;2 948;4 978 335;3 561;4 729 615;;Samaradorligi past;Angren shahri, 6/4 daxasi, Amir Temur k.;Agrobank;Chinoz Filiali;CHINOZ TUMANI;1;Chinoz tumani Õamza MFY Yagona Darcha yonida
;Kapitalbank;11372;1;445;238 061;;;3 950;3 510 931;3%;;313;191 645;132;46 416;2 369;2 494 864;1 581;1 016 067;2 056;2 303 219;1 449;969 651;;Samaradorligi past; Angren shahri, Navoiy k., 17, 9 xonadon;Agrobank;Buka filiali ;BO'KA TUMANI;1;Bo'ka tumani M. O'zbekiston  ko'chasi 19 uy
;Milliy bank;11254;4;25 972;26 434 452;;;23 221;25 183 967;22%;;11 424;11 801 337;14 548;14 633 115;10 203;12 056 936;13 018;13 127 031;-1 221;255 599;-1 530;-1 506 085;1 430 054;O'rtacha; Angren shahri, Yoshlik MFY, Oxangaron k., 1;Agrobank;Oqqorg'on filiali ;OQQO'RG'ON TUMANI;1;Oqqo'rg'on tumani A.Qodiriy ko'chasi 1 a uy
;SQB;11199;4;27 894;18 144 375;;;30 527;20 699 534;18%;;12 580;9 139 248;15 314;9 005 127;14 479;10 151 826;16 048;10 547 708;1 899;1 012 579;734;1 542 581;1 313 994;Samarador; Angren shahri, 5/1a daxa, 3;Agrobank;Bekobod filiali ;BEKOBOD TUMANI;1;Bekobod tumani Zafar sh. Porloq kuchasi 15-uy (Bank binosi yonida)
;Õalq banki;11581;1;7 508;3 101 371;;;6 092;2 284 195;2%;;2 902;1 423 452;4 606;1 677 919;2 445;1 204 582;3 647;1 079 613;-457;-218 870;-959;-598 306;126 449;Samaradorligi past; Angren shahri, Navoiy k., 7;Agrobank;Yangiyul filiali ;YANGIYO'L SHAHRI;1;Yangiyol shahar Navruz MFY. Bozor xududi Registon 1
;Hayot bank;;1;0;0;;;1 826;1 571 773;1%;;;;;;1 046;566 510;780;1 005 263;1 046;566 510;780;1 005 263;;Samaradorligi past;Angren shahari, Guzal MSG, A.Navoiy shoh ko‘chasi, 25-uy;Agrobank;Quyichirchiq filiali;QUYICHIRCHIQ TUMANI;1;Quyichirchiq tumani Navqiron MFY Bibixonim  ko'chasi 41  uy
;Hamkorbank;11446;3;34 671;21 608 191;;;48 724;32 202 865;29%;;16 254;10 656 045;18 417;10 952 146;21 536;14 063 271;27 188;18 139 594;5 282;3 407 226;8 771;7 187 448;1 932 264;Samarador; Angren shahri, Oxangaron k.;Agrobank;Õududiy filiali;NURAFSHON SHAHRI;1;Nurafshon shahar Yangiobod MFY 
BEKOBOD TUMANI;;;8;21 254;10 149 917;1,06%; Samaradorligi past;28 385;13 053 179;1%; Samaradorligi past;12 444;5 584 929;8 810;4 564 988;17 359;7 754 740;11 026;5 298 440;4 915;2 169 810;2 216;733 452;774 977; Samaradorligi past;;Agrobank;Toshkent shahar filiali;ZANGIOTA TUMANI;1; Zangiota tumani
;Agro bank;468;1;16 651;8 073 849;;;16 140;7 898 171;61%;;9 119;4 136 911;7 532;3 936 938;9 239;4 454 411;6 901;3 443 761;120;317 499;-631;-493 177;580 045;Samarador;Bekobod tumani, Istiklol MFY, Porlok k., 15;Aloqabank;Toshkent viloyati;TOSHKENT TUMANI;1;Toshkent tumani, Keles shaharchasi, Õuvaydo MFYda
